name_zagr;x;y
Ko-089-535;7535000;5089000
Ko-090-535;7535000;5090000
Ko-091-535;7535000;5091000
Ko-092-535;7535000;5092000
Ko-093-535;7535000;5093000
Ko-089-536;7536000;5089000
Ko-090-536;7536000;5090000
Ko-091-536;7536000;5091000
Ko-092-536;7536000;5092000
Ko-093-536;7536000;5093000
Ko-094-536;7536000;5094000
Ko-095-536;7536000;5095000
Ko-096-536;7536000;5096000
Ko-089-537;7537000;5089000
Ko-090-537;7537000;5090000
Ko-091-537;7537000;5091000
Ko-092-537;7537000;5092000
Ko-093-537;7537000;5093000
Ko-094-537;7537000;5094000
Ko-095-537;7537000;5095000
Ko-096-537;7537000;5096000
Ko-097-537;7537000;5097000
Ko-098-537;7537000;5098000
Ko-099-537;7537000;5099000
Ko-100-537;7537000;5100000
Ko-088-538;7538000;5088000
Ko-089-538;7538000;5089000
Ko-090-538;7538000;5090000
Ko-091-538;7538000;5091000
Ko-092-538;7538000;5092000
Ko-093-538;7538000;5093000
Ko-094-538;7538000;5094000
Ko-095-538;7538000;5095000
Ko-096-538;7538000;5096000
Ko-097-538;7538000;5097000
Ko-098-538;7538000;5098000
Ko-099-538;7538000;5099000
Ko-100-538;7538000;5100000
Ko-101-538;7538000;5101000
Ko-102-538;7538000;5102000
Ko-103-538;7538000;5103000
Ko-088-539;7539000;5088000
Ko-089-539;7539000;5089000
Ko-090-539;7539000;5090000
Ko-091-539;7539000;5091000
Ko-092-539;7539000;5092000
Ko-093-539;7539000;5093000
Ko-094-539;7539000;5094000
Ko-095-539;7539000;5095000
Ko-096-539;7539000;5096000
Ko-097-539;7539000;5097000
Ko-098-539;7539000;5098000
Ko-099-539;7539000;5099000
Ko-100-539;7539000;5100000
Ko-101-539;7539000;5101000
Ko-102-539;7539000;5102000
Ko-103-539;7539000;5103000
Ko-104-539;7539000;5104000
Ko-105-539;7539000;5105000
Ko-106-539;7539000;5106000
Ko-107-539;7539000;5107000
Ko-088-540;7540000;5088000
Ko-089-540;7540000;5089000
Ko-090-540;7540000;5090000
Ko-091-540;7540000;5091000
Ko-092-540;7540000;5092000
Ko-093-540;7540000;5093000
Ko-094-540;7540000;5094000
Ko-095-540;7540000;5095000
Ko-096-540;7540000;5096000
Ko-097-540;7540000;5097000
Ko-098-540;7540000;5098000
Ko-099-540;7540000;5099000
Ko-100-540;7540000;5100000
Ko-101-540;7540000;5101000
Ko-102-540;7540000;5102000
Ko-103-540;7540000;5103000
Ko-104-540;7540000;5104000
Ko-105-540;7540000;5105000
Ko-106-540;7540000;5106000
Ko-107-540;7540000;5107000
Ko-108-540;7540000;5108000
Ko-109-540;7540000;5109000
Ko-110-540;7540000;5110000
Ko-087-541;7541000;5087000
Ko-088-541;7541000;5088000
Ko-089-541;7541000;5089000
Ko-090-541;7541000;5090000
Ko-091-541;7541000;5091000
Ko-092-541;7541000;5092000
Ko-093-541;7541000;5093000
Ko-094-541;7541000;5094000
Ko-095-541;7541000;5095000
Ko-096-541;7541000;5096000
Ko-097-541;7541000;5097000
Ko-098-541;7541000;5098000
Ko-099-541;7541000;5099000
Ko-100-541;7541000;5100000
Ko-101-541;7541000;5101000
Ko-102-541;7541000;5102000
Ko-103-541;7541000;5103000
Ko-104-541;7541000;5104000
Ko-105-541;7541000;5105000
Ko-106-541;7541000;5106000
Ko-107-541;7541000;5107000
Ko-108-541;7541000;5108000
Ko-109-541;7541000;5109000
Ko-110-541;7541000;5110000
Ko-111-541;7541000;5111000
Ko-112-541;7541000;5112000
Ko-113-541;7541000;5113000
Ko-114-541;7541000;5114000
Ko-087-542;7542000;5087000
Ko-088-542;7542000;5088000
Ko-089-542;7542000;5089000
Ko-090-542;7542000;5090000
Ko-091-542;7542000;5091000
Ko-092-542;7542000;5092000
Ko-093-542;7542000;5093000
Ko-094-542;7542000;5094000
Ko-095-542;7542000;5095000
Ko-096-542;7542000;5096000
Ko-097-542;7542000;5097000
Ko-098-542;7542000;5098000
Ko-099-542;7542000;5099000
Ko-100-542;7542000;5100000
Ko-101-542;7542000;5101000
Ko-102-542;7542000;5102000
Ko-103-542;7542000;5103000
Ko-104-542;7542000;5104000
Ko-105-542;7542000;5105000
Ko-106-542;7542000;5106000
Ko-107-542;7542000;5107000
Ko-108-542;7542000;5108000
Ko-109-542;7542000;5109000
Ko-110-542;7542000;5110000
Ko-111-542;7542000;5111000
Ko-112-542;7542000;5112000
Ko-113-542;7542000;5113000
Ko-114-542;7542000;5114000
Ko-115-542;7542000;5115000
Ko-116-542;7542000;5116000
Ko-117-542;7542000;5117000
Ko-087-543;7543000;5087000
Ko-088-543;7543000;5088000
Ko-089-543;7543000;5089000
Ko-090-543;7543000;5090000
Ko-091-543;7543000;5091000
Ko-092-543;7543000;5092000
Ko-093-543;7543000;5093000
Ko-094-543;7543000;5094000
Ko-095-543;7543000;5095000
Ko-096-543;7543000;5096000
Ko-097-543;7543000;5097000
Ko-098-543;7543000;5098000
Ko-099-543;7543000;5099000
Ko-100-543;7543000;5100000
Ko-101-543;7543000;5101000
Ko-102-543;7543000;5102000
Ko-103-543;7543000;5103000
Ko-104-543;7543000;5104000
Ko-105-543;7543000;5105000
Ko-106-543;7543000;5106000
Ko-107-543;7543000;5107000
Ko-108-543;7543000;5108000
Ko-109-543;7543000;5109000
Ko-110-543;7543000;5110000
Ko-111-543;7543000;5111000
Ko-112-543;7543000;5112000
Ko-113-543;7543000;5113000
Ko-114-543;7543000;5114000
Ko-115-543;7543000;5115000
Ko-116-543;7543000;5116000
Ko-117-543;7543000;5117000
Ko-118-543;7543000;5118000
Ko-119-543;7543000;5119000
Ko-087-544;7544000;5087000
Ko-088-544;7544000;5088000
Ko-089-544;7544000;5089000
Ko-090-544;7544000;5090000
Ko-091-544;7544000;5091000
Ko-092-544;7544000;5092000
Ko-093-544;7544000;5093000
Ko-094-544;7544000;5094000
Ko-095-544;7544000;5095000
Ko-096-544;7544000;5096000
Ko-097-544;7544000;5097000
Ko-098-544;7544000;5098000
Ko-099-544;7544000;5099000
Ko-100-544;7544000;5100000
Ko-101-544;7544000;5101000
Ko-102-544;7544000;5102000
Ko-103-544;7544000;5103000
Ko-104-544;7544000;5104000
Ko-105-544;7544000;5105000
Ko-106-544;7544000;5106000
Ko-107-544;7544000;5107000
Ko-108-544;7544000;5108000
Ko-109-544;7544000;5109000
Ko-110-544;7544000;5110000
Ko-111-544;7544000;5111000
Ko-112-544;7544000;5112000
Ko-113-544;7544000;5113000
Ko-114-544;7544000;5114000
Ko-115-544;7544000;5115000
Ko-116-544;7544000;5116000
Ko-117-544;7544000;5117000
Ko-118-544;7544000;5118000
Ko-086-545;7545000;5086000
Ko-087-545;7545000;5087000
Ko-088-545;7545000;5088000
Ko-089-545;7545000;5089000
Ko-090-545;7545000;5090000
Ko-091-545;7545000;5091000
Ko-092-545;7545000;5092000
Ko-093-545;7545000;5093000
Ko-094-545;7545000;5094000
Ko-095-545;7545000;5095000
Ko-096-545;7545000;5096000
Ko-097-545;7545000;5097000
Ko-098-545;7545000;5098000
Ko-099-545;7545000;5099000
Ko-100-545;7545000;5100000
Ko-101-545;7545000;5101000
Ko-102-545;7545000;5102000
Ko-103-545;7545000;5103000
Ko-104-545;7545000;5104000
Ko-105-545;7545000;5105000
Ko-106-545;7545000;5106000
Ko-107-545;7545000;5107000
Ko-108-545;7545000;5108000
Ko-109-545;7545000;5109000
Ko-110-545;7545000;5110000
Ko-111-545;7545000;5111000
Ko-112-545;7545000;5112000
Ko-113-545;7545000;5113000
Ko-114-545;7545000;5114000
Ko-115-545;7545000;5115000
Ko-116-545;7545000;5116000
Ko-117-545;7545000;5117000
Ko-118-545;7545000;5118000
Ko-086-546;7546000;5086000
Ko-087-546;7546000;5087000
Ko-088-546;7546000;5088000
Ko-089-546;7546000;5089000
Ko-090-546;7546000;5090000
Ko-091-546;7546000;5091000
Ko-092-546;7546000;5092000
Ko-093-546;7546000;5093000
Ko-094-546;7546000;5094000
Ko-095-546;7546000;5095000
Ko-096-546;7546000;5096000
Ko-097-546;7546000;5097000
Ko-098-546;7546000;5098000
Ko-099-546;7546000;5099000
Ko-100-546;7546000;5100000
Ko-101-546;7546000;5101000
Ko-102-546;7546000;5102000
Ko-103-546;7546000;5103000
Ko-104-546;7546000;5104000
Ko-105-546;7546000;5105000
Ko-106-546;7546000;5106000
Ko-107-546;7546000;5107000
Ko-108-546;7546000;5108000
Ko-109-546;7546000;5109000
Ko-110-546;7546000;5110000
Ko-111-546;7546000;5111000
Ko-112-546;7546000;5112000
Ko-113-546;7546000;5113000
Ko-114-546;7546000;5114000
Ko-115-546;7546000;5115000
Ko-116-546;7546000;5116000
Ko-117-546;7546000;5117000
Ko-118-546;7546000;5118000
Ko-086-547;7547000;5086000
Ko-087-547;7547000;5087000
Ko-088-547;7547000;5088000
Ko-089-547;7547000;5089000
Ko-090-547;7547000;5090000
Ko-091-547;7547000;5091000
Ko-092-547;7547000;5092000
Ko-093-547;7547000;5093000
Ko-094-547;7547000;5094000
Ko-095-547;7547000;5095000
Ko-096-547;7547000;5096000
